Film,Princess,Animated or Computer Animated?,Release Date,Composer,Princess Singing Voice,Prince Singing Voice,Budget,Box Office Gross,Disney Era
Snow White and the Seven Dwarves,Snow White,Animated,1937-12-21,Frank Churchill,Adriana Caselotti,Harry Stockwell ,1.49,418.2,Classic
Cinderella,Cinderella,Animated,1950-02-15,Oliver Wallace,Ilene Woods,Mike Douglas,2.9,263.6,Classic
Sleeping Beauty,Aurora,Animated,1959-01-29,George Burns,Mary Costa,Bill Shirley,6,51.6,Classic
The Little Mermaid,Ariel,Animated,1989-11-17,Alan Menken,Jodi Benson,,40,211.3,Renaissance
Beauty and the Beast,Belle,Animated,1991-09-29,Alan Menken,Paige O'Hara,Robby Benson,25,425,Renaissance
Aladdin,Jasmine,Animated,1992-11-25,Alan Menken,Lea Salonga,Brad Kane,28,504.1,Renaissance
Pocahontas,Pocahontas,Animated,1995-06-23,Alan Menken,Judy Kuhn,Mel Gibson,55,346.1,Renaissance
Mulan,Mulan,Animated,1998-06-19,Jerry Goldsmith,Lea Salonga,Donny Osmond,90,304.3,Renaissance
Princess and the Frog,Tiana,Animated,2009-11-25,Randy Newman,Anika Noni Rose,Bruno Campos,105,267,Modern
Tangled,Rapunzel,Computer Animated,2010-11-14,Alan Menken,Mandy Moore,Zachary Levi,260,591.8,Modern
Brave,Merida,Computer Animated,2012-06-10,Patrick Doyle,Julie Fowlis,,185,540.4,Modern
